panel,lane,concurrency,throughput_tps,artifact,baseline_throughput_tps,baseline_artifact,delta_percent,status,reason
panel-0,sengine-quest,11,1460.8244176818357,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs11/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-omnikv,1,218.66292911642375,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,18.599750840015837,success,
panel-0,sengine-omnikv,2,404.66963336960833,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,43.094136128914904,success,
panel-0,sengine-omnikv,4,659.875730447439,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,66.24749373918463,success,
panel-0,sengine-omnikv,8,1123.8819881096558,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,108.1866726497284,success,
panel-0,sengine-omnikv,12,1501.085809906425,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs12/performance.jsonl,532.1965403003157,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl,182.05478544812976,success,
panel-0,hisparse-quest,1,159.44399589671337,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-snapkv_tangram-snapkv_hisparse-quest-qwen-gpu5-sparse-matched/hisparse-quest/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,-13.519780135121295,success,
panel-0,hisparse-quest,2,295.09260258366834,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-snapkv_tangram-snapkv_hisparse-quest-qwen-gpu5-sparse-matched/hisparse-quest/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,4.3468982170346,success,
panel-0,tangram-snapkv,1,136.67773832350667,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,-25.86788361408058,success,
panel-0,tangram-snapkv,2,250.86569827692298,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,-11.292057967378744,success,
panel-0,tangram-snapkv,4,488.2932850712651,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,23.01942791217273,success,
panel-0,tangram-snapkv,8,791.5544777432457,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,46.62668739761075,success,
panel-0,tangram-snapkv,16,1133.684084250138,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs16/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,tangram-snapkv,32,1597.2579187936033,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs32/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,vortex-quest,1,171.93653751726058,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,-6.743998206550483,success,
panel-0,vortex-quest,2,305.7716088403428,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,8.123072777724705,success,
panel-0,vortex-quest,4,511.19896935641174,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,28.79023054830632,success,
panel-0,vortex-quest,8,827.2213160534247,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,53.2335735923271,success,
panel-0,vortex-quest,12,1024.3904041846858,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs12/performance.jsonl,532.1965403003157,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl,92.48347680100055,success,
