panel,model,input_len,output_len,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
panel-0,qwen3-30b-fp8,32768,2048,hisparse-quest,1,159.44399589671337,768,4.816738289082423,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-snapkv_tangram-snapkv_hisparse-quest-qwen-gpu5-sparse-matched/hisparse-quest/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,hisparse-quest,2,295.09260258366834,1536,5.205145729007199,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-snapkv_tangram-snapkv_hisparse-quest-qwen-gpu5-sparse-matched/hisparse-quest/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,1,136.67773832350667,768,5.619056983385235,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,2,250.86569827692298,1536,6.12279801722616,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,4,488.2932850712651,3072,6.291300933109596,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,8,791.5544777432457,6144,7.761942068114877,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,16,1133.684084250138,12288,10.838998421793804,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs16/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,tangram-snapkv,32,1597.2579187936033,24576,15.386369171086699,768,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs32/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vortex-quest,1,171.93653751726058,768,4.466764371842146,768,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vortex-quest,2,305.7716088403428,1536,5.023357158061117,768,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vortex-quest,4,511.19896935641174,3072,6.00940178707242,768,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vortex-quest,8,827.2213160534247,6144,7.4272747579962015,768,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vortex-quest,12,1024.3904041846858,9216,8.996570020914078,768,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs12/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,1,144.87935269223672,768,5.300962392007932,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,2,272.819251340896,1536,5.630101220682263,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,4,466.2050765044429,3072,6.589374836999923,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs4/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,8,692.7383094921099,6144,8.869150032289326,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,16,1004.2093630631032,12288,12.236492161871865,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,vllm-vanilla,23,897.7751811746139,17664,19.675304430769756,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs23/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,1,151.7915406410691,768,5.059570492245257,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,2,263.655879157043,1536,5.825775647070259,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,4,445.1236731797111,3072,6.901452753692865,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs4/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,8,688.013496612502,6144,8.930057375691831,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs8/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,16,949.4518846446613,12288,12.942204021848738,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs16/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-vanilla,22,1067.608737469398,16896,15.826022593304515,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs22/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,1,141.10526490102836,768,5.442745177075267,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs1/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,2,259.5620318364809,1536,5.917660565115511,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs2/performance.jsonl
panel-1,glm4.7-flash,32768,2048,sengine-snapkv,4,517.7157294008387,3072,5.93375828769058,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-probes-20260922/sengine-snapkv/bs4/performance.jsonl
